post_id,timestamp,media_type,caption,like_count,comment_count,reach,impressions,saves,shares,profile_visits,follows
post_1,2024-01-01T09:17:00,image,Photo drop #1 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1244,33,20587,21075,75,39,100,11
post_2,2024-01-02T22:03:00,image,Photo drop #2 | Outfit Reel | Full outfit try-on from our latest launch.,2014,199,54036,54854,48,17,15,14
post_3,2024-01-03T21:05:00,carousel,Carousel lookbook #3 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,636,9,14210,15059,97,14,26,3
post_4,2024-01-04T19:09:00,image,Photo drop #4 | New Drop | New arrival from our summer collection. Limited pieces only.,1810,158,59175,59546,89,7,93,11
post_5,2024-01-05T17:51:00,reel,Reel #5 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,2837,186,79730,79842,68,44,126,22
post_6,2024-01-06T17:40:00,carousel,"Carousel lookbook #6 | Weekend Outfit | Weekend-ready outfit for brunch, movies or a coffee run.",3170,207,86551,87034,105,8,61,24
post_7,2024-01-07T22:05:00,reel,Reel #7 | Behind the Scenes | Behind the scenes from today’s studio shoot.,1707,188,29376,30043,115,15,131,13
post_8,2024-01-08T18:49:00,reel,Reel #8 | New Drop | New arrival from our summer collection. Limited pieces only.,1085,33,33972,34085,61,21,118,18
post_9,2024-01-09T17:46:00,image,Photo drop #9 | Behind the Scenes | Behind the scenes from today’s studio shoot.,2066,62,105154,105749,26,12,128,13
post_10,2024-01-10T21:29:00,image,Photo drop #10 | New Drop | New arrival from our summer collection. Limited pieces only.,901,163,18117,18238,50,34,84,14
post_11,2024-01-11T19:26:00,image,Photo drop #11 | Style Tip | How to style this piece three different ways.,501,180,13912,14736,21,11,125,1
post_12,2024-01-12T21:34:00,reel,Reel #12 | Style Tip | How to style this piece three different ways.,4308,197,37728,38158,69,60,23,25
post_13,2024-01-13T17:21:00,reel,"Reel #13 | Customer Review | Styled by our customer community—real people, real fits.",332,70,8897,9062,35,40,75,24
post_14,2024-01-14T10:52:00,carousel,Carousel lookbook #14 | New Drop | New arrival from our summer collection. Limited pieces only.,3321,154,109956,110369,34,31,114,12
post_15,2024-01-15T11:34:00,reel,Reel #15 | Casual Look | Everyday casual fit you can wear on repeat.,715,55,23751,24293,14,13,131,22
post_16,2024-01-16T09:22:00,reel,Reel #16 | Workwear | Workwear that feels like loungewear but looks like power dressing.,1566,131,21824,22086,81,26,147,17
post_17,2024-01-17T17:08:00,reel,Reel #17 | Casual Look | Everyday casual fit you can wear on repeat.,651,171,20862,21192,91,28,38,9
post_18,2024-01-18T17:15:00,image,"Photo drop #18 | Customer Review | Styled by our customer community—real people, real fits.",1151,101,20451,21063,14,14,144,7
post_19,2024-01-19T21:57:00,image,Photo drop #19 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,1868,229,35322,35509,124,35,36,11
post_20,2024-01-20T17:34:00,image,Photo drop #20 | Casual Look | Everyday casual fit you can wear on repeat.,874,166,31004,31852,71,5,80,23
post_21,2024-01-21T22:53:00,carousel,Carousel lookbook #21 | Workwear | Workwear that feels like loungewear but looks like power dressing.,3006,210,43906,44519,42,6,141,11
post_22,2024-01-22T20:37:00,image,Photo drop #22 | New Drop | New arrival from our summer collection. Limited pieces only.,2125,162,60686,61471,77,31,106,7
post_23,2024-01-23T21:28:00,reel,Reel #23 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,1434,170,15480,16004,88,58,82,6
post_24,2024-01-24T22:35:00,reel,"Reel #24 | Customer Review | Styled by our customer community—real people, real fits.",667,132,8866,9237,114,38,29,13
post_25,2024-01-25T09:37:00,reel,Reel #25 | Behind the Scenes | Behind the scenes from today’s studio shoot.,679,150,19600,19948,106,38,83,15
post_26,2024-01-26T18:36:00,reel,Reel #26 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,2498,167,63520,63965,14,18,46,1
post_27,2024-01-27T15:42:00,reel,Reel #27 | Outfit Reel | Full outfit try-on from our latest launch.,3124,212,35275,35856,111,18,98,12
post_28,2024-01-28T12:38:00,image,Photo drop #28 | Workwear | Workwear that feels like loungewear but looks like power dressing.,2668,95,32760,33188,66,21,31,9
post_29,2024-01-29T13:10:00,reel,"Reel #29 | Customer Review | Styled by our customer community—real people, real fits.",2119,18,27900,28508,30,17,26,9
post_30,2024-01-30T17:10:00,carousel,Carousel lookbook #30 | Casual Look | Everyday casual fit you can wear on repeat.,1042,94,42044,42622,38,24,150,3
post_31,2024-01-31T10:28:00,carousel,Carousel lookbook #31 | Casual Look | Everyday casual fit you can wear on repeat.,2757,87,64881,65514,15,32,119,15
post_32,2024-02-01T10:03:00,carousel,Carousel lookbook #32 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,2233,161,70485,70742,80,13,64,7
post_33,2024-02-02T12:02:00,image,Photo drop #33 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,454,117,6720,6831,62,25,22,2
post_34,2024-02-03T12:46:00,reel,Reel #34 | Behind the Scenes | Behind the scenes from today’s studio shoot.,1313,122,19382,19771,134,34,69,17
post_35,2024-02-04T09:47:00,reel,Reel #35 | Outfit Reel | Full outfit try-on from our latest launch.,3054,93,83148,83475,105,45,115,18
post_36,2024-02-05T12:24:00,image,Photo drop #36 | Workwear | Workwear that feels like loungewear but looks like power dressing.,285,76,6762,7349,17,11,46,15
post_37,2024-02-06T22:22:00,carousel,"Carousel lookbook #37 | Weekend Outfit | Weekend-ready outfit for brunch, movies or a coffee run.",278,172,9168,9629,60,38,69,13
post_38,2024-02-07T09:06:00,carousel,Carousel lookbook #38 | Style Tip | How to style this piece three different ways.,2847,98,50960,51859,101,18,113,6
post_39,2024-02-08T15:08:00,reel,Reel #39 | Outfit Reel | Full outfit try-on from our latest launch.,162,53,2820,3258,10,10,52,8
post_40,2024-02-09T16:27:00,image,Photo drop #40 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,407,21,8736,8953,72,9,49,22
post_41,2024-02-10T09:22:00,reel,Reel #41 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,1649,98,46158,46607,135,18,37,22
post_42,2024-02-11T09:18:00,reel,Reel #42 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,2396,98,27630,27789,117,11,43,8
post_43,2024-02-12T13:15:00,image,Photo drop #43 | Casual Look | Everyday casual fit you can wear on repeat.,125,147,3813,4343,78,27,109,21
post_44,2024-02-13T11:54:00,reel,Reel #44 | New Drop | New arrival from our summer collection. Limited pieces only.,2997,91,95756,96176,6,29,144,25
post_45,2024-02-14T09:41:00,reel,Reel #45 | Style Tip | How to style this piece three different ways.,2036,63,58450,59005,22,45,65,13
post_46,2024-02-15T19:43:00,image,Photo drop #46 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,1337,134,40362,41258,92,29,56,13
post_47,2024-02-16T09:16:00,carousel,Carousel lookbook #47 | New Drop | New arrival from our summer collection. Limited pieces only.,950,66,29640,29928,21,13,40,9
post_48,2024-02-17T10:57:00,image,"Photo drop #48 | Customer Review | Styled by our customer community—real people, real fits.",441,88,13376,13609,46,36,38,20
post_49,2024-02-18T13:33:00,carousel,Carousel lookbook #49 | Style Tip | How to style this piece three different ways.,3374,51,83196,83589,126,32,127,8
post_50,2024-02-19T09:05:00,image,"Photo drop #50 | Weekend Outfit | Weekend-ready outfit for brunch, movies or a coffee run.",514,113,20787,21254,27,11,114,1
post_51,2024-02-20T15:13:00,image,Photo drop #51 | New Drop | New arrival from our summer collection. Limited pieces only.,1773,37,36560,36838,71,19,122,6
post_52,2024-02-21T21:56:00,reel,Reel #52 | Behind the Scenes | Behind the scenes from today’s studio shoot.,583,17,8470,9152,83,30,28,21
post_53,2024-02-22T19:34:00,carousel,Carousel lookbook #53 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,2164,131,69550,70327,75,6,52,10
post_54,2024-02-23T13:56:00,image,Photo drop #54 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1105,148,16796,17328,15,13,58,22
post_55,2024-02-24T09:35:00,image,Photo drop #55 | Style Tip | How to style this piece three different ways.,2559,69,78360,79043,78,48,108,3
post_56,2024-02-25T22:55:00,image,Photo drop #56 | Style Tip | How to style this piece three different ways.,3409,27,94031,94449,14,28,24,5
post_57,2024-02-26T22:41:00,carousel,Carousel lookbook #57 | Style Tip | How to style this piece three different ways.,492,166,14715,15445,81,36,61,21
post_58,2024-02-27T19:25:00,reel,Reel #58 | Style Tip | How to style this piece three different ways.,765,26,13356,13611,143,18,92,12
post_59,2024-02-28T17:26:00,carousel,Carousel lookbook #59 | Behind the Scenes | Behind the scenes from today’s studio shoot.,1383,119,33306,33952,78,41,38,1
post_60,2024-02-29T18:38:00,carousel,Carousel lookbook #60 | Outfit Reel | Full outfit try-on from our latest launch.,2421,32,98912,99682,39,41,137,1
post_61,2024-03-01T14:18:00,reel,"Reel #61 | Customer Review | Styled by our customer community—real people, real fits.",1695,187,46224,46527,34,7,110,2
